Location,Scenario,Contextual_Similarity
Airplane,Making a dramatic exit by walking into a closet,0.7521
Pirate Ship,Escaping a boring party by crawling through a vent,0.7521
Airplane,Claiming to be a doctor on a flight when you only have a PhD in Art History,0.7521
Prom,Trying to break up with someone who thinks you're proposing,0.7521
Fishing Village,Playing hide and seek and falling asleep,0.7521
Rainforest,Trying to sell ice to an Eskimo,0.7521
Subway Train,Office Holiday Party,0.7521
Battlefield,Emergency Evacuation,0.7521
Shopping Mall,Causing a Public Scene,0.7521
Pub,Escaping a boring date through the bathroom window,0.7521
Bank,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7521
Emergency Room,Starting a Bar Fight,0.7521
Military Base,Getting caught taking selfies at a somber historical monument,0.7521
Ranch,Spilling red wine on a white carpet,0.7521
Principal's Office,Making a Scene in a Restaurant,0.7521
Dungeon,Finding a treasure map on the back of a fast-food receipt,0.7521
Mall,Impersonating a tour guide at a museum,0.7521
Public Restroom,Discovering a secret room behind a bookcase,0.7521
Science Lab,First Day at a New Job,0.7521
Grocery Store,Swimming in a public fountain,0.7521
Vet Clinic,Staging an Intervention,0.7521
Construction Site,Fleshing Out a Heist Plan,0.7521
Cave,Cult Initiation Ceremony,0.7521
Moon Base,Alien Abduction Attempt,0.7521
Beach,Dropping the birthday cake right before singing,0.7521
Bank,Making a dramatic exit by walking into a closet,0.7521
Bank Vault,Trying to sneak out of a house party with a stolen bottle of wine,0.7521
Garden,Getting Lost Without a Map,0.7521
Elevator,Trying to start a slow clap in an empty room,0.7521
Dorm Room,Spilling red wine on a white carpet,0.7521
Casino,Trying to sneak out of a house party with a stolen bottle of wine,0.7521
Egyptian Pyramids,Impersonating a tour guide at a museum,0.7521
Elevator,Throwing out someone else's winning lottery ticket,0.7521
Sewers,Camping Trip Where Everything Goes Wrong,0.7521
University Quad,Dropping the bride's ring down a sewer grate,0.7521
Courtroom,Explaining why you are wearing your friend's clothes,0.7521
Golf Course,Trying to start a fire by rubbing two sticks together,0.7521
White House,Spitting out terrible food into a napkin while the chef watches,0.7521
Taxi,House Party That Got Out of Hand,0.7521
Taxi,Hiding in a retail store until after it closes,0.7521
Airplane,Alien Abduction Attempt,0.7521
Diner,Walking in on a crime scene,0.7521
Airplane,Fleshing Out a Heist Plan,0.7521
Prom,Initiating a slow clap that nobody joins,0.7521
Elevator,Getting caught trying to steal a souvenir from a sacred temple,0.7521
Basement,House Party That Got Out of Hand,0.7521
College Campus,Breaking a priceless vase at a museum and trying to glue it back,0.752
Castle,Murder Mystery Dinner,0.752
Upscale Hotel Lobby,Throwing a temper tantrum in a grocery store,0.752
Palace,Attempting to steal the Declaration of Independence,0.752
Maze,Hiding under a bed to avoid a conversation,0.752
Movie Theater,Office Holiday Party,0.752
Parade,Trying to break a curse by kissing a frog,0.752
Alley,Pulling a fire alarm to get out of a bad date,0.752
Church,Spitting out terrible food into a napkin while the chef watches,0.752
Ocean Floor,Spilling red wine on a white carpet,0.752
Dorm Room,Amateur Ghost Hunting,0.752
Executive's Office,Sneaking into a celebrity's dressing room,0.752
Moon Base,Hiding in a retail store until after it closes,0.752
On the phone,Having a public meltdown because they discontinued your favorite snack,0.752
Circus,Office Holiday Party,0.752
Cruise Ship,Taking a bite out of a decorative wax apple,0.752
Cruise Ship,Opening someone else's mail and finding a ransom note,0.752
Underwater,Being challenged to a dance battle by a group of teenagers,0.752
Hospital,Opening someone else's mail and finding a ransom note,0.752
Bank,Spilling coffee on a priceless piece of art,0.752
Dorm Room,Muddy Festival Camping,0.752
Underwater City,Undercover Sting Operation,0.752
Underwater,Going to a costume party a week early,0.752
Break Room,Setting off fireworks indoors,0.752
Subway Train,Trying to escape a maze,0.752
Prison Cell,Alien Abduction Attempt,0.752
Elevator,Calling 911 because you lost the TV remote,0.752
Pool Hall,Trying to sneak out of a house party with a stolen bottle of wine,0.752
Pub,Accidentally promising to cook a five-course meal for 20 people,0.752
Prison,Lying about knowing martial arts to intimidate a mugger,0.752
Courtroom,Quitting a gang by submitting a formal letter of resignation,0.752
Ice Cream Parlor,Trapped in a revolving door with a mime,0.752
Car Accident Site,Getting bitten by a radioactive spider and getting terrible powers,0.752
Living Room,Getting Lost Without a Map,0.752
Prison Cell,Throwing a temper tantrum in a grocery store,0.752
Space Station,Hiding under a bed to avoid a conversation,0.752
Construction Site,Getting caught building a doomsday device in the garage,0.752
On the phone,Taking credit for a colleague's idea right in front of them,0.752
Forest,Negotiating a ride hitchhiking with a very strange driver,0.752
Battlefield,Playing hide and seek and falling asleep,0.752
Astronaut Training Facility,First Day at a New Job,0.752
University Lecture Hall,Hiding under a bed to avoid a conversation,0.752
Train Station,Waving back at someone who wasn't waving at you,0.752
Movie Theater,Wearing a tuxedo to a pool party,0.752
Office Cubicle,Flirting with the Boss,0.7519
Underwater,Explaining to your landlord why there is a horse in your apartment,0.7519
Upscale Hotel Lobby,Arriving Way Too Early to a Party,0.7519
Underwater,Explaining why you faked your own death to avoid paying rent,0.7519
Lake,Accidentally destroying a child's sandcastle masterpiece,0.7519
Garden,Spitting out terrible food into a napkin while the chef watches,0.7519
Carnival Funhouse,Playing hide and seek and falling asleep,0.7519
Hospital Room,Ruining a silent retreat by having hiccups,0.7519
Newsroom,Setting off fireworks indoors,0.7519
Nightclub,Insisting that birds aren't real at a bird-watching convention,0.7519
Upscale Hotel Lobby,Buying a Ridiculously Expensive Round of Drinks,0.7519
Forest,Attempting to resurrect a dead houseplant with dark magic,0.7519
Prom,Stealing the microphone at a karaoke bar,0.7519
Sporting Event,Accidental Reply-All Disaster,0.7519
Prom,Pretending to know the host of a VIP party you crashed,0.7519
Palace,Trying to steal a famous painting from a museum,0.7519
College Campus,Trying to arrest a suspect using a citizen's arrest,0.7519
Pawn Shop,Accidentally buying a cursed doll at a garage sale,0.7519
Courtroom,Trying to use a Jedi mind trick on a stubborn bouncer,0.7519
Principal's Office,Breaking a priceless vase at a museum and trying to glue it back,0.7519
Courtroom,Attempting to perform open-heart surgery using a YouTube tutorial,0.7519
Underwater,Explaining why you are wearing your friend's clothes,0.7519
Amusement Park,Trying to steal a famous painting from a museum,0.7519
Alley,Spilling coffee on a priceless piece of art,0.7519
Movie Theater,Performing an Exorcism,0.7519
Photography Studio,Lost in Translation,0.7519
House Fire,Trying to sneak out of a house party with a stolen bottle of wine,0.7519
Garage,Backing over your neighbor's prized rose bush,0.7519
Castle,Hiding under a bed to avoid a conversation,0.7519
Subway Train,Interrupting a moment of silence with a loud ringtone,0.7519
Prison Cell,Getting Caught Talking to Yourself,0.7519
Salvage Yard,Accidentally buying a cursed doll at a garage sale,0.7519
Egyptian Pyramids,Hiding under a bed to avoid a conversation,0.7519
Train Station,Forgetting to wear pants to a Zoom meeting and standing up,0.7519
Taxi,Calling 911 because you lost the TV remote,0.7519
Courtroom,Refusing to share an umbrella in a hurricane,0.7519
Fast Food Restaurant,Witnessing a bank robbery and asking for an autograph,0.7519
Office Cubicle,Making a dramatic exit by walking into a closet,0.7519
Sewers,Opening someone else's mail and finding a ransom note,0.7519
Underwater,Rescuing a cat from a tree and getting stuck yourself,0.7519
Therapist's Office,Spilling coffee on a priceless piece of art,0.7519
Yacht,Spitting out terrible food into a napkin while the chef watches,0.7519
Car Accident Site,Messy Divorce,0.7519
Prison,Calling a partner by the wrong name during an argument,0.7519
Military Helicopter,Explaining to border control why your suitcase is full of rocks,0.7519
Laundromat,Trapped in a revolving door with a mime,0.7519
Courtroom,Faking an injury to get out of helping a friend move,0.7519
Prison,Getting caught trying to smuggle a dinosaur egg,0.7519
Camp,Kicking a soccer ball into someone's face,0.7519
Cemetery,Escaping a boring party by crawling through a vent,0.7519
Fishing Boat,Navigating a foreign city with a broken map and no language skills,0.7519
Carnival,Falling asleep at the wheel of a parked car and screaming when you wake up,0.7519
Mansion,Getting Locked Out,0.7518
Nursing Home,Walking in on a crime scene,0.7518
Military Base,Being challenged to a dance battle by a group of teenagers,0.7518
Elementary School Classroom,Dropping the birthday cake right before singing,0.7518
Limousine,Backing over your neighbor's prized rose bush,0.7518
Alley,House Party That Got Out of Hand,0.7518
Motel,Murder Mystery Dinner,0.7518
Car Accident Site,Handling a Hostage Negotiation,0.7518
College Campus,Handling a Hostage Negotiation,0.7518
Campsite,Biting into a fake apple at an open house,0.7518
Golf Course,Trying to sell ice to an Eskimo,0.7518
Lighthouse,Trying to escape a maze,0.7518
Cemetery,Waking up in a different country with no memory of how you got there,0.7518
Lake,Demanding to speak to the manager of the ocean,0.7518
Living Room,Taking a bite out of a decorative wax apple,0.7518
Cruise Ship,Kicking a soccer ball into someone's face,0.7518
Cruise Ship,Walking into a glass door in front of your crush,0.7518
Lake,Waking up drenched in sweat at a partner's house because their sheets are terrible,0.7518
White House,Calling a partner by the wrong name during an argument,0.7518
Nightclub,Trying to convince everyone the party isn't dead at 4 AM,0.7518
Theater,Trapped in a tent with a friend who won't stop talking,0.7518
Village,Breaking a priceless vase at a museum and trying to glue it back,0.7518
City Bus,Explaining why you parked in the Mayor's reserved spot,0.7518
Subway Train,Making a dramatic exit by walking into a closet,0.7518
Underwater,Getting caught taking selfies at a somber historical monument,0.7518
Police Station,Finding a treasure map on the back of a fast-food receipt,0.7518
Emergency Room,Telling a crying child that life isn't fair,0.7518
Subway Tunnel,Trying to hide a dead body in a shallow grave,0.7518
Dorm Room,Trapped in a revolving door with a mime,0.7518
Bank,Undercover Sting Operation,0.7518
Church,Accidentally Crashing a Wedding,0.7518
College Campus,Trying to invent a new color,0.7518
Prison,Accidentally eating the office fridge thief's poisoned bait,0.7518
Snowy Mountain Peak,Purchasing a haunted antique that won't stop screaming,0.7518
Break Room,Lost in Translation,0.7518
Factory,Buying a supposedly haunted car that just plays bad 80s music,0.7518
Circus,Hiding under a bed to avoid a conversation,0.7518
Prison,Trying to assemble IKEA furniture without the instructions,0.7518
Mountain,Being trapped in a sleeping bag during a bear attack,0.7518
Medieval Castle,Explaining to your landlord why there is a horse in your apartment,0.7518
Courtroom,Pretending to be a psychic to scam tourists,0.7518
Backyard,Navigating a foreign city with a broken map and no language skills,0.7518
Carnival Funhouse,Trapped in a revolving door with a mime,0.7518
Coffeehouse,Interrupting a moment of silence with a loud ringtone,0.7518
Water Park,Hiding in a retail store until after it closes,0.7518
Elevator,Eavesdropping on a conversation and chiming in with unwanted advice,0.7518
Volcano,Spilling coffee on a priceless piece of art,0.7518
Theater,Losing the winning lottery ticket in the trash,0.7518
Industrial Factory,Escaping a boring party by crawling through a vent,0.7518
Airport,Pretending to be a psychic to scam tourists,0.7518
Limousine,Purchasing a haunted antique that won't stop screaming,0.7518
Bar,Hiding under a bed to avoid a conversation,0.7518
Elevator,Panicking and throwing your keys into a river,0.7518
Movie Set,Trying to assemble IKEA furniture without the instructions,0.7518
Park,Waking up in a different country with no memory of how you got there,0.7518
Break Room,Planning a Prison Escape,0.7518
Upscale Hotel Lobby,Forgetting to wear pants to a Zoom meeting and standing up,0.7517
Woods,Waking up in a different country with no memory of how you got there,0.7517
International Space Station,Escaping a boring party by crawling through a vent,0.7517
Antiques Shop,First Day at a New Job,0.7517
Ocean,Biting into a fake apple at an open house,0.7517
Woods,Backing over your neighbor's prized rose bush,0.7517
Attic,Buying a supposedly haunted car that just plays bad 80s music,0.7517
Cemetery,Accidentally wearing a Halloween costume to a black-tie wedding,0.7517
Apartment Building,Falling in Love at First Sight,0.7517
Forest,Accidentally sharing your screen during a private rant about the boss,0.7517
Zoo,Bringing a live turkey to Thanksgiving dinner,0.7517
Prison,Alien Abduction Attempt,0.7517
Yacht,Playing hide and seek and falling asleep,0.7517
Bank,Buying a supposedly haunted car that just plays bad 80s music,0.7517
Halloween Party,Accidentally summoning a demon at a casual sleepover,0.7517
Fast Food Restaurant,Defending your decision to eat a questionable local delicacy,0.7517
Prom,Double Date Drama,0.7517
Car Accident Site,Accidentally liking your boss's vacation photo from 2014,0.7517
Boarding School,Investigating a Haunting,0.7517
Courthouse,Kicking a soccer ball into someone's face,0.7517
Camp,Cult Initiation Ceremony,0.7517
Prison Cell,Tripping over nothing and acting like you meant to do it,0.7517
Apartment Building,Defending Earth from aliens using only household appliances,0.7517
City,Getting caught putting a fake bug in your soup for a free meal,0.7517
Airport,Walking out of a restaurant without paying and returning out of guilt,0.7517
House Fire,Getting Fired Spectacularly,0.7517
Abandoned Mine,Escaping a boring party by crawling through a vent,0.7517
County Fair,Trying to break a curse by kissing a frog,0.7517
Courtroom,Accidentally eating the office fridge thief's poisoned bait,0.7517
Diner,Trying to return a half-eaten sandwich,0.7517
Skate Park,"Taping a ""kick me"" sign to your own back",0.7517
Airplane,Accidentally breaking a priceless heirloom and blaming the dog,0.7517
Elevator,Negotiating with a kidnapper,0.7517
Prison Cell,Attempting to perform a citizen's arrest on a pigeon,0.7517
Underwater,Negotiating with a kidnapper,0.7517
Online,Calling a partner by the wrong name during an argument,0.7517
Airport,Buying a supposedly haunted car that just plays bad 80s music,0.7517
On the phone,Throwing out someone else's winning lottery ticket,0.7517
Rock Concert,Trying to steal a famous painting from a museum,0.7517
Restaurant,Falling Asleep During a Meeting,0.7517
Waiting Room,Speed Dating,0.7517
Emergency Room,Forgetting to wear pants to a Zoom meeting and standing up,0.7517
Woods,Forgetting to wear pants to a Zoom meeting and standing up,0.7517
Laboratory,Attempting to steal the Declaration of Independence,0.7517
Rooftop,Trying to start a fire by rubbing two sticks together,0.7517
White House,Arriving at a potluck empty-handed,0.7517
Fishing Village,Trying to break a curse by kissing a frog,0.7517
Countryside,Accidentally destroying a child's sandcastle masterpiece,0.7517
Prison Cell,Attempting to steal the Declaration of Independence,0.7517
Movie Set,Auditioning for a musical when you are tone-deaf,0.7517
Amusement Park,Amateur Ghost Hunting,0.7517
Underwater City,Hiding under a bed to avoid a conversation,0.7517
Military Base,Muddy Festival Camping,0.7517
Barn,Dropping the bride's ring down a sewer grate,0.7517
Water Park,Demanding to speak to the manager of the ocean,0.7517
Park,Falling Asleep During a Meeting,0.7517
Police Station,Impersonating a tour guide at a museum,0.7517
Pet Store,Accidentally breaking a priceless heirloom and blaming the dog,0.7517
Principal's Office,Complaining About the Boss to the Boss,0.7516
Medieval Castle,Getting caught trying to steal a souvenir from a sacred temple,0.7516
Farmer's Market,Attempting to buy groceries with monopoly money,0.7516
Underwater,Accidentally breaking a priceless heirloom and blaming the dog,0.7516
Dorm Room,Trapped in a tent with a friend who won't stop talking,0.7516
Upscale Hotel Lobby,Accidentally giving a five-star review to a terrible restaurant,0.7516
Police Station,Defending your terrible parallel parking job holding up traffic,0.7516
Police Car,Explaining to border control why your suitcase is full of rocks,0.7516
Bridge,Office Holiday Party,0.7516
Moon Base,Planning a Prison Escape,0.7516
Courthouse,Explaining why you parked in the Mayor's reserved spot,0.7516
Ocean,Trying to break a curse by kissing a frog,0.7516
Diner,Spilling coffee on a priceless piece of art,0.7516
Nightclub,Going to a costume party a week early,0.7516
Indoor Shooting Range,Escaping a boring party by crawling through a vent,0.7516
Empty Lot,Making a Scene in a Restaurant,0.7516
Prison,Trying to catch a fly with chopsticks,0.7516
Water Park,Keeping a stolen penguin in your bathtub,0.7516
White House,Accidentally promising to cook a five-course meal for 20 people,0.7516
Birthday Party,Arriving at a potluck empty-handed,0.7516
Diner,Setting off fireworks indoors,0.7516
Prom,Trying to escape a maze,0.7516
Ballroom,Investigating a Haunting,0.7516
Birthday Party,Stealing candy from a baby,0.7516
Attic,Attempting to steal the Declaration of Independence,0.7516
Courtroom,Trapped in a tent with a friend who won't stop talking,0.7516
Garage,Opening someone else's mail and finding a ransom note,0.7516
Virtual Reality World,Navigating a foreign city with a broken map and no language skills,0.7516
Small Town,Accidentally buying a cursed doll at a garage sale,0.7516
Photography Studio,Hiding in a retail store until after it closes,0.7516
Prom,Bringing a live turkey to Thanksgiving dinner,0.7516
Haunted House,Escape Room Disaster,0.7516
Flower Shop,Falling in Love at First Sight,0.7516
Train Station,Losing the winning lottery ticket in the trash,0.7516
Camp,Ruining a silent retreat by having hiccups,0.7516
Hotel Room,Emergency Evacuation,0.7516
Video Arcade,House Party That Got Out of Hand,0.7516
Ice Cream Parlor,Faking a proposal just to get a free dessert at a restaurant,0.7516
Antiques Shop,Inheriting a cursed amulet from a distant relative,0.7516
Movie Set,Causing a Public Scene,0.7516
Island,Making a dramatic exit by walking into a closet,0.7516
Prison Cell,Trying to unionize the office while the CEO is in the room,0.7516
Military Base,Navigating a foreign city with a broken map and no language skills,0.7516
Garden,Navigating a foreign city with a broken map and no language skills,0.7516
Zoo,First Day at a New Job,0.7516
Bowling Alley,Trapped in a revolving door with a mime,0.7516
Egyptian Pyramids,Dropping the bride's ring down a sewer grate,0.7516
Limousine,First Day at a New Job,0.7516
Bridge,Initiating a slow clap that nobody joins,0.7516
Emergency Room,Suing a restaurant because the food was too spicy,0.7516
Courthouse,Telling a crying child that life isn't fair,0.7516
Gas Station,Swimming in a public fountain,0.7516
Art Gallery,Walking in on a crime scene,0.7516
Office Cubicle,Spilling red wine on a white carpet,0.7516
Egyptian Pyramids,Planning a Prison Escape,0.7516
Farm,Lost in Translation,0.7516
Birthday Party,Interrupting a Wedding,0.7516
University Lecture Hall,House Party That Got Out of Hand,0.7516
Garden,Emergency Evacuation,0.7516
Countryside,Dropping the bride's ring down a sewer grate,0.7516
Prison,Getting caught hoarding all the free samples at the bakery,0.7516
Big City Street,Trying to start a fire by rubbing two sticks together,0.7516
Wedding Reception,Walking in on a crime scene,0.7516
Courthouse,Bribing a health inspector with stale cookies,0.7516
Forest,Kicking a soccer ball into someone's face,0.7516
Skate Park,Faking an injury to get out of helping a friend move,0.7516
Cemetery,Biting into a fake apple at an open house,0.7516
College Campus,Attempting to bring a sword through airport security,0.7516
Skate Park,Wearing a tuxedo to a pool party,0.7516
Greenhouse,House Party That Got Out of Hand,0.7515
Car Accident Site,Trying to escape a maze,0.7515
Grocery Store,Office Holiday Party,0.7515
Train Station,Hiding under a bed to avoid a conversation,0.7515
Kitchen,Explaining to your landlord why there is a horse in your apartment,0.7515
Underwater,Telling a crying child that life isn't fair,0.7515
Construction Site,Trying to start a fire by rubbing two sticks together,0.7515
City,Getting arrested for stealing a traffic cone,0.7515
Fast Food Restaurant,Walking in on a crime scene,0.7515
Ancient Ruins,Lost in Translation,0.7515
Principal's Office,Spilling coffee on a priceless piece of art,0.7515
On the phone,Discovering a Conspiracy,0.7515
Parade,Trying to sneak out of a house party with a stolen bottle of wine,0.7515
Lake,Trying to sneak out of a house party with a stolen bottle of wine,0.7515
Casual Dining Restaurant,Hosting a dinner party during a zombie apocalypse,0.7515
Airplane,Accidentally sending a screenshot of a chat to that chat,0.7515
Underwater City,Admitting you don't know what water is,0.7515
Alley,Office Holiday Party,0.7515
Taxi,Interrupting a moment of silence with a loud ringtone,0.7515
Waiting Room,Escaping a boring date through the bathroom window,0.7515
City,Entering a hot dog eating contest to impress a vegetarian,0.7515
Underwater,Mistaking superglue for eye drops,0.7515
Ballroom,Arriving at a potluck empty-handed,0.7515
Island,Dropping the birthday cake right before singing,0.7515
County Fair,Bringing a live turkey to Thanksgiving dinner,0.7515
Underwater,Hacking a Secure System,0.7515
Airport,Ruining a silent retreat by having hiccups,0.7515
Big City Street,House Party That Got Out of Hand,0.7515
Island,Staging an Intervention,0.7515
Executive's Office,Forgetting to wear pants to a Zoom meeting and standing up,0.7515
Ballroom,Throwing a temper tantrum in a grocery store,0.7515
On the phone,First Time Meeting the Parents,0.7515
Sewers,Getting bitten by a radioactive spider and getting terrible powers,0.7515
Apartment Building,Murder Mystery Dinner,0.7515
Nightclub,Witnessing a bank robbery and asking for an autograph,0.7515
Bowling Alley,Walking in on a crime scene,0.7515
College Campus,Pretending to be a psychic to scam tourists,0.7515
On the phone,Getting caught trying to steal a souvenir from a sacred temple,0.7515
Ambulance,Getting arrested for stealing a traffic cone,0.7515
Harbor,Spilling red wine on a white carpet,0.7515
Courtroom,Complaining about the food to the chef who happens to be your date,0.7515
Elevator,Ruining a silent retreat by having hiccups,0.7515
Circus,Being challenged to a dance battle by a group of teenagers,0.7515
Police Car,Being trapped in a sleeping bag during a bear attack,0.7515
Movie Set,Finding a treasure map on the back of a fast-food receipt,0.7515
Woods,Insisting that birds aren't real at a bird-watching convention,0.7515
Park,Being trapped in a sleeping bag during a bear attack,0.7515
Spaceship,Insisting that birds aren't real at a bird-watching convention,0.7515
Library,Purchasing a haunted antique that won't stop screaming,0.7515
Virtual Reality World,Escape Room Disaster,0.7515
Principal's Office,Purchasing a haunted antique that won't stop screaming,0.7515
Elevator,Demanding to speak to the manager of the ocean,0.7515
Underwater City,Wearing a tuxedo to a pool party,0.7515
International Space Station,Attempting to steal the Declaration of Independence,0.7515
Boardwalk,Navigating a foreign city with a broken map and no language skills,0.7515
Carnival Funhouse,Camping Trip Where Everything Goes Wrong,0.7515
Upscale Hotel Lobby,Getting kicked out of a world-renowned museum,0.7515
Train Station,Accidentally promising to cook a five-course meal for 20 people,0.7515
Nursing Home,Staging an Intervention,0.7515
Car Accident Site,Getting caught practicing a cool entrance in the mirror,0.7515
Train Station,Leaving Someone at the Altar,0.7515
Spaceship,Attempting to steal the Declaration of Independence,0.7515
Theater,Escaping a boring date through the bathroom window,0.7515
Park,Purchasing a haunted antique that won't stop screaming,0.7515
Subway Tunnel,Buying a supposedly haunted car that just plays bad 80s music,0.7515
Spaceship,Throwing a temper tantrum in a grocery store,0.7515
Police Station,Accidentally hitting a pedestrian with a golf cart,0.7515
Nursing Home,Escaping a boring party by crawling through a vent,0.7515
Urban Rooftop,Hiding in a retail store until after it closes,0.7514
Garden,Purchasing a haunted antique that won't stop screaming,0.7514
Ambulance,Spilling red wine on a white carpet,0.7514
Skate Park,Office Holiday Party,0.7514
County Fair,Dropping the bride's ring down a sewer grate,0.7514
Park,Pretending to be blind to get a better seat,0.7514
Gas Station,Finding a treasure map on the back of a fast-food receipt,0.7514
Park,Opening someone else's mail and finding a ransom note,0.7514
Penthouse Suite,House Party That Got Out of Hand,0.7514
Nightclub,Trying to sell ice to an Eskimo,0.7514
Skate Park,Breaking a priceless vase at a museum and trying to glue it back,0.7514
Prom,Tripping over nothing and acting like you meant to do it,0.7514
Break Room,Camping Trip Where Everything Goes Wrong,0.7514
Bridge,Calling a partner by the wrong name during an argument,0.7514
Subway Train,Falling Asleep During a Meeting,0.7514
Rock Concert,First Day at a New Job,0.7514
Morgue,Swimming in a public fountain,0.7514
Hotel Room,Buying a supposedly haunted car that just plays bad 80s music,0.7514
Courtroom,Tripping over nothing and acting like you meant to do it,0.7514
Botanical Garden,Insisting that birds aren't real at a bird-watching convention,0.7514
Garden,Trying to sneak out of a house party with a stolen bottle of wine,0.7514
Gymnasium,Breaking a priceless vase at a museum and trying to glue it back,0.7514
Bunker,Planning a Prison Escape,0.7514
Courthouse,Getting caught stealing lunches from the breakroom fridge,0.7514
Theater,Waking up in a different country with no memory of how you got there,0.7514
Moon Base,Delivering a pizza to a supervillain's secret lair,0.7514
Observatory,Biting into a fake apple at an open house,0.7514
Theater,Getting bitten by a radioactive spider and getting terrible powers,0.7514
Park,Forgetting to wear pants to a Zoom meeting and standing up,0.7514
Horse Racing Track,Spilling red wine on a white carpet,0.7514
Fire Station,Buying a supposedly haunted car that just plays bad 80s music,0.7514
Rooftop,Office Holiday Party,0.7514
On the phone,Trying to convince the group you aren't horribly seasick,0.7514
Office Cubicle,Apologizing to a mannequin after bumping into it,0.7514
On the phone,Trying to convince the neighborhood watch you aren't a burglar,0.7514
Online,Pulling a fire alarm to get out of a bad date,0.7514
Limousine,Explaining to your landlord why there is a horse in your apartment,0.7514
Living Room,Breaking a priceless vase at a museum and trying to glue it back,0.7514
Bank,Pretending to be a psychic to scam tourists,0.7514
Rainforest,Accidentally sharing your screen during a private rant about the boss,0.7514
Medieval Village,Camping Trip Where Everything Goes Wrong,0.7514
Bank Vault,Getting caught hoarding all the free samples at the bakery,0.7514
Executive's Office,Accidentally eating the office fridge thief's poisoned bait,0.7514
Run-Down Apartment,Faking an injury to get out of helping a friend move,0.7514
Police Car,Discovering a secret room behind a bookcase,0.7514
Taxi,Defending your terrible parallel parking job holding up traffic,0.7514
Maze,Sneaking into a celebrity's dressing room,0.7514
Vet Clinic,Playing hide and seek and falling asleep,0.7514
Construction Site,Biting into a fake apple at an open house,0.7514
Beach,Throwing a temper tantrum in a grocery store,0.7514
Limousine,Accidentally promising to cook a five-course meal for 20 people,0.7514
College Campus,Getting caught practicing a cool entrance in the mirror,0.7514
Medieval Castle,Sneaking into a celebrity's dressing room,0.7514
Executive's Office,Setting off fireworks indoors,0.7514
Jewelry Store,Trying to steal a famous painting from a museum,0.7514
Jungle,Making a dramatic exit by walking into a closet,0.7514
Military Base,Office Holiday Party,0.7514
Maze,Making a Scene in a Restaurant,0.7514
Sporting Event,Complaining about the food to the chef who happens to be your date,0.7514
On the phone,Leaving Someone at the Altar,0.7514
Military Base,Witnessing a bank robbery and asking for an autograph,0.7514
Village,Destroying a child's belief in Santa Claus,0.7514
Palace,Biting into a fake apple at an open house,0.7514
City,Explaining to the mafia boss why the pizza is late,0.7514
Fire Station,Camping Trip Where Everything Goes Wrong,0.7514
Parade,Getting caught practicing a cool entrance in the mirror,0.7514
Elementary School Classroom,Arguing with a coworker over CSS specificity rules,0.7514
Cave,Explaining to border control why your suitcase is full of rocks,0.7514
Bridge,Dropping the birthday cake right before singing,0.7513
Fast Food Restaurant,Stealing the microphone at a karaoke bar,0.7513
Mansion,Getting kicked out of a world-renowned museum,0.7513
Church,Spilling coffee on a priceless piece of art,0.7513
Casino,Accidentally promising to cook a five-course meal for 20 people,0.7513
University Quad,Hiding under a bed to avoid a conversation,0.7513
Jewelry Store,Fleshing Out a Heist Plan,0.7513
Prom,Causing a Public Scene,0.7513
College Campus,Not knowing how to use a manual can opener,0.7513
Sporting Event,Trying to defuse a bomb with safety scissors,0.7513
Airplane,Sending an event announcement with a massive typo to the entire university,0.7513
Run-Down Apartment,Getting Lost Without a Map,0.7513
Run-Down Apartment,Explaining why you faked your own death to avoid paying rent,0.7513
Prison,Trying to start a slow clap in an empty room,0.7513
Park,Accidentally sharing your screen during a private rant about the boss,0.7513
University Lecture Hall,Emergency Evacuation,0.7513
Mechanic's Shop,Backing over your neighbor's prized rose bush,0.7513
Zoo,Emergency Evacuation,0.7513
Attic,Opening someone else's mail and finding a ransom note,0.7513
Nursery,Stealing candy from a baby,0.7513
Clock Tower,Spilling coffee on a priceless piece of art,0.7513
Garden,Accidentally destroying a child's sandcastle masterpiece,0.7513
Mall,Trying to sell ice to an Eskimo,0.7513
Boardwalk,Accidentally destroying a child's sandcastle masterpiece,0.7513
Jewelry Store,Spilling coffee on a priceless piece of art,0.7513
Black-Tie Event,Leaving Someone at the Altar,0.7513
Halloween Party,Cult Initiation Ceremony,0.7513
Upscale Hotel Lobby,Pretending to be a psychic to scam tourists,0.7513
Pool Hall,Explaining why you are wearing sunglasses indoors at night,0.7513
On the phone,Attempting to communicate with aliens via interpretive dance,0.7513
Office Cubicle,Accidentally hitting 'Reply All' with a spicy meme,0.7513
Castle,Getting caught taking selfies at a somber historical monument,0.7513
Forest,Getting caught trying to steal a souvenir from a sacred temple,0.7513
Tank,Planning a Prison Escape,0.7513
Hospital,Investigating a Haunting,0.7513
Small Town Street,Backing over your neighbor's prized rose bush,0.7513
Movie Theater,Getting Lost Without a Map,0.7513
Courtroom,Trying to convince the neighborhood watch you aren't a burglar,0.7513
Museum,Hiding under a bed to avoid a conversation,0.7513
Shopping Mall,Impersonating a tour guide at a museum,0.7513
Gas Station,Muddy Festival Camping,0.7513
Jungle,Attempting to resurrect a dead houseplant with dark magic,0.7513
Mall,Interrupting a moment of silence with a loud ringtone,0.7513
Woods,Escaping a boring party by crawling through a vent,0.7513
