Location,Scenario,Similarity
Subway Train,Getting Stood Up,0.6673
On the phone,Kicking a soccer ball into someone's face,0.6673
Liquor Store,Solving a Murder,0.6673
Fast Food Restaurant,Flirting with the Boss,0.6673
Casino,Starting a Bar Fight,0.6673
Prison Cell,Getting Stood Up,0.6673
Woods,Trying to start a fire by rubbing two sticks together,0.6673
Pub,3am Drunk Food Run,0.6673
Home Office,Hiding a Fugitive,0.6673
Crystal Cave,Trying to escape a maze,0.6673
Hospital Room,Arguing Over the Bill,0.6673
Prison Cell,Firing a Friend,0.6673
Hunting Cabin,Starting a Cult,0.6673
House Party,Pretending to know the host of a VIP party you crashed,0.6673
Birthday Party,Messy Breakup,0.6672
House Fire,Negotiating a Ransom,0.6672
House Party,Awkward Morning After,0.6672
Bridge,Extreme Jet Lag,0.6672
Mechanic's Shop,Emergency Evacuation,0.6672
Maze,Breaking a priceless vase at a museum and trying to glue it back,0.6672
Principal's Office,Hiding a Fugitive,0.6672
Vet Clinic,Being audited by the IRS for claiming your pet as a dependent,0.6672
Beach Party,Messy Breakup,0.6672
Pharmacy,Dealing with a Karen,0.6672
Green Room,Starting a Bar Fight,0.6672
Ski Resort,Escape Room Disaster,0.6672
Underwater,Getting Friend-Zoned,0.6672
County Fair,Arguing with a Bouncer,0.6672
On the phone,Explaining to border control why your suitcase is full of rocks,0.6672
Trailer Park,Alien Abduction Attempt,0.6672
War Zone,Discovering a Conspiracy,0.6672
Sporting Event,Running Out of Gas,0.6672
Camp,Causing a Public Scene,0.6672
Police Station,Witnessing a bank robbery and asking for an autograph,0.6672
Tattoo Parlor,Evading Arrest,0.6672
Courtroom,Arguing with a Bouncer,0.6671
Boarding School,Office Holiday Party,0.6671
Factory,First Day at a New Job,0.6671
Military Base,Getting Friend-Zoned,0.6671
Hair Salon,Causing a Public Scene,0.6671
Nature Hike,Hiding a Fugitive,0.6671
College Campus,Starting a Cult,0.6671
Art Gallery,Running Out of Gas,0.6671
Salvage Yard,Negotiating a Ransom,0.6671
Chicken Coop,Amateur Ghost Hunting,0.6671
Diner,Murder Mystery Dinner,0.6671
Chicken Coop,Running Out of Gas,0.6671
Haunted House,Interrupting a Wedding,0.6671
Pool Hall,Running into an Ex,0.667
Hair Salon,Flirting with the Boss,0.667
Flower Shop,Causing a Public Scene,0.667
Casino,Emergency Evacuation,0.667
Empty Lot,Messy Divorce,0.667
Construction Site,Investigating a Haunting,0.667
Industrial Factory,Office Holiday Party,0.667
Parking Lot,Scamming the Scammer,0.667
Dragon's Lair,Hacking a Secure System,0.667
Art Gallery,Trying to steal a famous painting from a museum,0.667
Shopping Mall,Hiding a Fugitive,0.667
Ice Cream Parlor,3am Drunk Food Run,0.667
Antiques Shop,Solving a Murder,0.667
Shopping Mall,Breaking a priceless vase at a museum and trying to glue it back,0.667
Shopping Mall,Getting caught trying to steal a souvenir from a sacred temple,0.667
Workshop,Causing a Public Scene,0.667
Mechanic's Shop,Getting Locked Out,0.6669
Underwater,Discovering a Conspiracy,0.6669
Sporting Event,Staging an Intervention,0.6669
Garage Sale,Running Out of Gas,0.6669
Submarine,Extreme Jet Lag,0.6669
County Fair,Flirting with the Boss,0.6669
Run-Down Apartment,Trying to escape a maze,0.6669
Taxi Cab,Drunk Calling the Ex,0.6669
Prison,Speed Dating,0.6669
Forest,Lost in Translation,0.6669
Snowy Mountain Peak,Emergency Evacuation,0.6669
Police Car,Buying a supposedly haunted car that just plays bad 80s music,0.6669
Hunting Cabin,Evading Arrest,0.6669
Principal's Office,Negotiating a Ransom,0.6669
Living Room,First Day at a New Job,0.6669
Run-Down Apartment,Investigating a Haunting,0.6669
House Fire,Refusing to leave a store that is actively burning down,0.6669
Parade,Performing an Exorcism,0.6669
Moon Base,Speed Dating,0.6669
Garden,Emergency Evacuation,0.6668
Cheap Motel,Losing Your Passport,0.6668
Rock Concert,Evading Arrest,0.6668
Cemetery,Backing over your neighbor's prized rose bush,0.6668
Subway Tunnel,Alien Abduction Attempt,0.6668
Car Accident Site,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6668
Run-Down Apartment,Drunk Calling the Ex,0.6668
Market,Causing a Public Scene,0.6668
Pub,Swimming in a public fountain,0.6668
Golf Course,Running from the Cops,0.6668
Art Gallery,Murder Mystery Dinner,0.6668
House Party,Hiding a Fugitive,0.6668
Public Restroom,Flirting with the Boss,0.6668
Elevator,Arguing with a Bouncer,0.6667
Hotel Room,Double Booking a Date,0.6667
Pirate Ship,Speed Dating,0.6667
Library,Lost in Translation,0.6667
Egyptian Pyramids,Starting a Cult,0.6667
Ocean Floor,Lost in Translation,0.6667
Pub,Getting caught putting a fake bug in your soup for a free meal,0.6667
Train Station,Office Holiday Party,0.6667
Sporting Event,Cult Initiation Ceremony,0.6667
Cheap Motel,Causing a Public Scene,0.6666
On the phone,Planning a Bank Heist,0.6666
Secret Passageway,Messy Divorce,0.6666
Space Station,Evading Arrest,0.6666
Hiking Trail,Extreme Jet Lag,0.6666
Hardware Store,Planning a Bank Heist,0.6666
Garage Sale,Murder Mystery Dinner,0.6666
Morgue,Hiding a Fugitive,0.6666
Shopping Mall,Trying to sell ice to an Eskimo,0.6666
Construction Site,Dealing with a Karen,0.6666
Farmer's Market,Emergency Evacuation,0.6666
Haunted House,Negotiating a Ransom,0.6666
Recording Studio,Bumping into a Celebrity,0.6666
Taxi,Taking a bite out of a decorative wax apple,0.6666
Pool Hall,Losing Your Passport,0.6666
Car Wash,Laundering money through a lemonade stand,0.6666
Ghost Town,Interrupting a Wedding,0.6665
Funeral Home,Getting Locked Out,0.6665
House Party,Wearing a tuxedo to a pool party,0.6665
Emergency Room,Explaining to the vet why the dog is green,0.6665
Prison,Starting a Bar Fight,0.6665
Emergency Room,Planning a Bank Heist,0.6665
Crystal Cave,Cult Initiation Ceremony,0.6665
White House,Getting Ghosted,0.6665
University Lecture Hall,Interrupting a Wedding,0.6665
Sporting Event,Dealing with a Karen,0.6665
Airport,Negotiating a Ransom,0.6665
Arctic Tundra,Getting your tongue stuck to a frozen pole,0.6665
City Bus,Extreme Jet Lag,0.6665
On the phone,Explaining to the mafia boss why the pizza is late,0.6664
Garage,Emergency Evacuation,0.6664
Teacher's Lounge,Hiding a Fugitive,0.6664
Haunted House,Losing Your Passport,0.6664
Bowling Alley,Running Out of Gas,0.6664
Secret Laboratory,Alien Abduction Attempt,0.6664
Subway Train,Getting Ghosted,0.6664
Courtroom,Escape Room Disaster,0.6664
Salvage Yard,Solving a Murder,0.6664
Community Center,Murder Mystery Dinner,0.6664
Recording Studio,Investigating a Haunting,0.6664
Penthouse Suite,Getting Locked Out,0.6664
Hardware Store,Emergency Evacuation,0.6664
Living Room,Extreme Jet Lag,0.6664
Fishing Village,Lost in Translation,0.6664
War Zone,Firing a Friend,0.6664
Courthouse,Hiding a Fugitive,0.6664
Village,Negotiating a Ransom,0.6664
Subway Train,Solving a Murder,0.6663
Park,Speed Dating,0.6663
Clock Tower,Alien Abduction Attempt,0.6663
Fast Food Restaurant,Falling in Love at First Sight,0.6663
International Space Station,Breaking a priceless vase at a museum and trying to glue it back,0.6663
Military Base,Running Out of Gas,0.6663
Coastal Cliffs,Evading Arrest,0.6663
Old Pick-Up Truck,Solving a Murder,0.6663
Space Station,Lost in Translation,0.6663
On the phone,Spilling red wine on a white carpet,0.6663
Train Station,Evading Arrest,0.6663
College Campus,Performing an Exorcism,0.6663
Public Restroom,Solving a Murder,0.6663
Underwater,Stranded with No Signal,0.6663
Nursing Home,Getting Ghosted,0.6663
Pawn Shop,Starting a Bar Fight,0.6663
Boarding School,Arguing with a Bouncer,0.6663
Penthouse Suite,Bumping into a Celebrity,0.6663
Cruise Ship,Hacking a Secure System,0.6663
Nursing Home,Messy Divorce,0.6663
Nursing Home,Running from the Cops,0.6663
Penthouse Suite,Getting Stood Up,0.6663
Laboratory,Evading Arrest,0.6663
Empty Lot,Planning a Bank Heist,0.6663
Prison,Attempting to steal the Declaration of Independence,0.6663
Junkyard,Finding a treasure map on the back of a fast-food receipt,0.6663
Wedding Reception,Lost in Translation,0.6663
Fast Food Restaurant,Disastrous First Date,0.6663
House Party,Escape Room Disaster,0.6663
Empty Lot,Amateur Ghost Hunting,0.6662
Alley,Backing over your neighbor's prized rose bush,0.6662
Indoor Shooting Range,Hiding a Fugitive,0.6662
Ice Cream Parlor,Hiding a Fugitive,0.6662
Old Pick-Up Truck,Lost in Translation,0.6662
Truck Stop,Losing Your Passport,0.6662
White House,Taking a bite out of a decorative wax apple,0.6662
Taxi Cab,Agreeing to be a getaway driver for a minor traffic offense,0.6662
Fast Food Restaurant,Firing a Friend,0.6662
Submarine,Lost in Translation,0.6662
Apartment Building,Dealing with a Karen,0.6662
Courtroom,Speed Dating,0.6662
Bookstore,Lost in Translation,0.6662
On the phone,Spitting out terrible food into a napkin while the chef watches,0.6662
Police Car,Amateur Ghost Hunting,0.6662
Cheap Motel,Scamming the Scammer,0.6662
Truck Stop,Office Holiday Party,0.6661
Apartment Building,First Day at a New Job,0.6661
Bank,Starting a Cult,0.6661
Truck Stop,Flirting with the Boss,0.6661
Run-Down Apartment,Dropping the bride's ring down a sewer grate,0.6661
Truck Stop,Evading Arrest,0.6661
Spaceship,Speed Dating,0.6661
Underwater City,Running Out of Gas,0.6661
University Lecture Hall,Performing an Exorcism,0.6661
Sewers,Evading Arrest,0.6661
Online,Getting Stood Up,0.6661
Cheap Motel,Messy Divorce,0.6661
Medieval Castle,Getting Ghosted,0.6661
Mall,Causing a Public Scene,0.6661
Bar,Dealing with a Karen,0.666
Taxi,Getting Stood Up,0.666
Fast Food Restaurant,Losing Your Passport,0.666
Dragon's Lair,Breaking a priceless vase at a museum and trying to glue it back,0.666
Beach Party,Cult Initiation Ceremony,0.666
Secret Laboratory,Delivering a pizza to a supervillain's secret lair,0.666
Abandoned Warehouse,Evading Arrest,0.666
Movie Set,Getting Stood Up,0.666
Public Restroom,Alien Abduction Attempt,0.666
Car Accident Site,Performing an Exorcism,0.666
Circus,Cult Initiation Ceremony,0.666
Backyard,Accidentally destroying a child's sandcastle masterpiece,0.6659
Forest,Taking a bite out of a decorative wax apple,0.6659
Ballroom,Emergency Evacuation,0.6659
Bank Vault,Alien Abduction Attempt,0.6659
Bar,Evading Arrest,0.6659
Recording Studio,First Day at a New Job,0.6659
Aquarium,Taking a bite out of a decorative wax apple,0.6659
Post-Apocalyptic World,Waking up to find you are the last person on earth,0.6659
City,Running from the Cops,0.6659
Maze,Taking a bite out of a decorative wax apple,0.6659
Beach House,Lost in Translation,0.6659
On the phone,Rescuing a cat from a tree and getting stuck yourself,0.6659
Park,Backing over your neighbor's prized rose bush,0.6659
Secret Passageway,Investigating a Haunting,0.6659
Train Station,Getting Locked Out,0.6659
Beach,Speed Dating,0.6659
Emergency Room,High-Stakes Poker Game,0.6658
Moon Base,Hacking a Secure System,0.6658
Green Room,Discovering a secret room behind a bookcase,0.6658
Zoo,Emergency Evacuation,0.6658
Psychiatric Ward,Extreme Jet Lag,0.6658
Ski Resort,Getting trapped on a ski lift with a loud chewer,0.6658
Run-Down Apartment,Office Holiday Party,0.6658
Fire Station,Office Holiday Party,0.6658
Submarine,Attempting to steal the Declaration of Independence,0.6658
International Space Station,Trying to escape a maze,0.6658
Submarine,Evading Arrest,0.6658
Military Helicopter,Negotiating a Ransom,0.6658
Bunker,Planning a Bank Heist,0.6658
Rock Concert,Solving a Murder,0.6658
Garage Sale,Evading Arrest,0.6657
Parking Lot,Performing an Exorcism,0.6657
Elevator,Escape Room Disaster,0.6657
Taxi Cab,First Day at a New Job,0.6657
Chicken Coop,Planning a Prison Escape,0.6657
Run-Down Apartment,Meet-Cute Gone Wrong,0.6657
Military Base,Trying to escape a maze,0.6657
Wine Cellar,Emergency Evacuation,0.6657
Medieval Castle,Running Out of Gas,0.6657
Egyptian Pyramids,Amateur Ghost Hunting,0.6657
Taxi,Solving a Murder,0.6657
Farmer's Market,Negotiating a Ransom,0.6656
Ice Cream Parlor,Running Out of Gas,0.6656
Igloo,Being trapped in a sleeping bag during a bear attack,0.6656
Island,Overthrowing a small island nation's government,0.6656
Emergency Room,Investigating a Haunting,0.6656
Nursing Home,Extreme Jet Lag,0.6656
Police Car,Starting a Bar Fight,0.6656
Nature Hike,Extreme Jet Lag,0.6656
Empty Lot,Staging an Intervention,0.6656
Construction Site,Alien Abduction Attempt,0.6656
Circus,Interrupting a Wedding,0.6656
Psychiatric Ward,Discovering a Conspiracy,0.6656
Underwater,Being trapped in a sleeping bag during a bear attack,0.6656
Palace,Getting Locked Out,0.6656
Garage Sale,Dealing with a Karen,0.6656
Junkyard,Running Out of Gas,0.6656
Island,Lost in Translation,0.6656
Waiting Room,Matchmaking Disaster,0.6655
Ice Cream Parlor,Starting a Bar Fight,0.6655
Prison,Being trapped in a sleeping bag during a bear attack,0.6655
Movie Theater,Hiding a Fugitive,0.6655
Medieval Village,Speed Dating,0.6655
Fitness Center,Performing an Exorcism,0.6655
Underwater,Messy Breakup,0.6655
Lake,Swimming in a public fountain,0.6655
Cabin In The Woods,Staging an Intervention,0.6655
River,Lost in Translation,0.6655
Race Track (Horses),Explaining to your landlord why there is a horse in your apartment,0.6655
Prison Cell,Breaking a priceless vase at a museum and trying to glue it back,0.6655
Museum,Solving a Murder,0.6655
Haunted House,Awkward First Kiss,0.6655
Empty Lot,3am Drunk Food Run,0.6654
Woods,Hiding a Fugitive,0.6654
City,Lost in Translation,0.6654
Bowling Alley,Cheating at a Board Game,0.6654
Salvage Yard,Scamming the Scammer,0.6654
Park,Running Out of Gas,0.6654
Old Pick-Up Truck,Explaining to a cop why you are driving a stolen ice cream truck,0.6654
Elevator,Solving a Murder,0.6654
Medieval Village,Starting a Cult,0.6654
Military Helicopter,Planning a Bank Heist,0.6654
Botanical Garden,Trying to escape a maze,0.6654
Graveyard,Speed Dating,0.6654
Beach Party,Solving a Murder,0.6654
Haunted House,3am Drunk Food Run,0.6654
Amusement Park,Dealing with a Karen,0.6654
Underwater,Speed Dating,0.6654
Zoo,Keeping a stolen penguin in your bathtub,0.6654
Waterfall,Explaining to border control why your suitcase is full of rocks,0.6654
Tattoo Parlor,Hiding a Fugitive,0.6654
Ocean Floor,First Day at a New Job,0.6654
Courtroom,Getting Locked Out,0.6654
Car Wash,Running Out of Gas,0.6653
Sporting Event,Investigating a Haunting,0.6653
Police Car,Negotiating a Ransom,0.6653
Convenience Store,Speed Dating,0.6653
Courtroom,Convincing a judge you are legally a sovereign citizen,0.6653
On the phone,Having a shouting match with a parrot,0.6653
Junkyard,Trying to sell ice to an Eskimo,0.6653
Police Car,Getting Ghosted,0.6653
Therapist's Office,Messy Breakup,0.6653
House Fire,Staging an Intervention,0.6653
Fast Food Restaurant,Taking a bite out of a decorative wax apple,0.6653
Bus Station,Extreme Jet Lag,0.6652
Carnival,Evading Arrest,0.6652
Living Room,Losing Your Passport,0.6652
Parking Lot,Messy Breakup,0.6652
Nightclub,Emergency Evacuation,0.6652
Underwater,Messy Divorce,0.6652
Botanical Garden,Speed Dating,0.6652
Hot Springs,Emergency Evacuation,0.6652
Herbalist's Shop,Performing an Exorcism,0.6652
Clock Tower,Discovering a Conspiracy,0.6652
Shopping Mall,Interrupting a Wedding,0.6652
House Fire,Setting off fireworks indoors,0.6651
Castle,Taking a bite out of a decorative wax apple,0.6651
Casual Dining Restaurant,Speed Dating,0.6651
Water Park,Running Out of Gas,0.6651
Dragon's Lair,Solving a Murder,0.6651
Space Station,Trying to escape a maze,0.6651
White House,Hacking a Secure System,0.6651
Waiting Room,Awkward First Kiss,0.6651
Dungeon,Investigating a Haunting,0.6651
Old Pick-Up Truck,Running into an Ex,0.6651
Submarine,Trying to sell ice to an Eskimo,0.6651
Hunting Cabin,Running Out of Gas,0.6651
Dorm Room,Causing a Public Scene,0.6651
Pond,Running Out of Gas,0.6651
Space Station,Losing Your Passport,0.6651
Fast Food Restaurant,Planning a Bank Heist,0.6651
Dragon's Lair,Attempting to steal the Declaration of Independence,0.6651
Garage Sale,Trying to sell ice to an Eskimo,0.6651
Ghost Town,Arguing with a Bouncer,0.665
Horse Racing Track,Hiding a Fugitive,0.665
Bridge,High-Stakes Poker Game,0.665
Funeral Home,Running Out of Gas,0.665
Hardware Store,Hacking a Secure System,0.665
Water Park,Extreme Jet Lag,0.665
Art Gallery,Trying to escape a maze,0.665
Rock Concert,Staging an Intervention,0.665
Medieval Castle,Speed Dating,0.665
Post-Apocalyptic World,Breaking a priceless vase at a museum and trying to glue it back,0.665
Park,Swimming in a public fountain,0.665
Convenience Store,Solving a Murder,0.665
Taxi,Getting Locked Out,0.665
Halloween Party,Starting a Bar Fight,0.665
Underwater,Arguing with a Bouncer,0.665
Bridge,Trying to start a fire by rubbing two sticks together,0.665
Emergency Room,Awkward Blind Date,0.665
Police Station,Planning a Bank Heist,0.665
Space Station,Stranded with No Signal,0.665
Psychic's Shop,Purchasing a haunted antique that won't stop screaming,0.6649
Wedding Reception,Performing an Exorcism,0.6649
Police Car,Trying to arrest a suspect using a citizen's arrest,0.6649
Hotel Room,Investigating a Haunting,0.6649
Public Restroom,Trying to escape a maze,0.6649
Ocean Floor,Hacking a Secure System,0.6649
Nursing Home,Breaking a priceless vase at a museum and trying to glue it back,0.6649
Camp,Extreme Jet Lag,0.6649
Theater,Running Out of Gas,0.6649
Boarding School,Messy Breakup,0.6649
Morgue,Breaking a priceless vase at a museum and trying to glue it back,0.6649
On the phone,Trying to catch a fly with chopsticks,0.6649
Indoor Shooting Range,Firing a Friend,0.6649
Airport,Evading Arrest,0.6649
Caravan,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6649
Movie Theater,Running into an Ex,0.6649
Upscale Hotel Lobby,Extreme Jet Lag,0.6649
Camp,Trying to escape a maze,0.6649
Taxi Cab,Starting a Bar Fight,0.6648
Living Room,Dealing with a Karen,0.6648
House Party,Lads/Girls Holiday Vibe,0.6648
City Bus,Running into an Ex,0.6648
Trailer Park,Getting Stood Up,0.6648
Big City Street,Running Out of Gas,0.6648
Circus,Emergency Evacuation,0.6648
Therapist's Office,Awkward Blind Date,0.6648
Beach Party,Arguing Over the Bill,0.6648
Mechanic's Shop,Starting a Bar Fight,0.6648
Hotel Room,Discovering a secret room behind a bookcase,0.6648
Recording Studio,Sneaking into a celebrity's dressing room,0.6648
Hospital,Breaking a priceless vase at a museum and trying to glue it back,0.6648
Alien Planet,Planning a Prison Escape,0.6648
Volcano,Extreme Jet Lag,0.6648
Funeral Home,Running from the Cops,0.6648
Taxi,Trying to claim a tax deduction for your imaginary friend,0.6648
Psychiatric Ward,High-Stakes Poker Game,0.6648
Virtual Reality World,Defending a flat-earth theory at a NASA conference,0.6648
Police Station,Getting Stood Up,0.6648
Military Helicopter,Getting Locked Out,0.6648
Police Car,Agreeing to be a getaway driver for a minor traffic offense,0.6648
Bridge,Breaking a priceless vase at a museum and trying to glue it back,0.6648
Empty Lot,Alien Abduction Attempt,0.6648
Casino,Dealing with a Karen,0.6647
Kitchen,Getting caught putting a fake bug in your soup for a free meal,0.6647
Wedding Reception,Getting Friend-Zoned,0.6647
Small Town,Alien Abduction Attempt,0.6647
Race Track (Horses),Running into an Ex,0.6647
Cheap Motel,Hiding a Fugitive,0.6647
Empty Lot,High-Stakes Poker Game,0.6647
Zoo,Causing a Public Scene,0.6647
Upscale Hotel Lobby,Destroying a luxury hotel room by accident,0.6647
Horse Racing Track,Running into an Ex,0.6647
Fitness Center,Running Out of Gas,0.6647
Construction Site,Falling in Love at First Sight,0.6647
Birthday Party,Staging an Intervention,0.6647
Beach Party,Evading Arrest,0.6647
Movie Theater,Extreme Jet Lag,0.6647
Man Cave,Staging an Intervention,0.6647
Campsite,Camping Trip Where Everything Goes Wrong,0.6647
Amusement Park,Falling asleep at the wheel of a parked car and screaming when you wake up,0.6647
Yacht Party,Wearing a tuxedo to a pool party,0.6646
Golf Course,Trying to escape a maze,0.6646
Park,Dealing with a Karen,0.6646
Dystopian World,Trying to escape a maze,0.6646
Casual Dining Restaurant,Trying to escape a maze,0.6646
Ice Cream Parlor,First Day at a New Job,0.6646
Fishing Village,Solving a Murder,0.6646
Ski Resort,Extreme Jet Lag,0.6646
Construction Site,Getting Friend-Zoned,0.6646
Upscale Hotel Lobby,Arguing with a Bouncer,0.6646
Snowy Mountain Peak,Hacking a Secure System,0.6646
Birthday Party,Dealing with a Karen,0.6646
Penthouse Suite,Staging an Intervention,0.6646
Cruise Ship,Getting Ghosted,0.6646
Cabin In The Woods,Discovering a secret room behind a bookcase,0.6646
Secret Passageway,Running into an Ex,0.6646
Amusement Park,Getting Ghosted,0.6646
Trailer Park,Performing an Exorcism,0.6646
Therapist's Office,Getting Friend-Zoned,0.6646
Pirate Ship,Extreme Jet Lag,0.6646
Movie Theater,Dealing with a Karen,0.6646
Post-Apocalyptic World,Trying to sell ice to an Eskimo,0.6646
Dystopian World,Running Out of Gas,0.6646
Video Arcade,Running into an Ex,0.6646
Liquor Store,Running Out of Gas,0.6646
Bridge,Trying to sell ice to an Eskimo,0.6645
House Party,Lost in Translation,0.6645
Carnival,Running Out of Gas,0.6645
Executive's Office,First Day at a New Job,0.6645
Coffeehouse,Running into three different exes at the same coffee shop,0.6645
Dragon's Lair,Convincing a dragon to give up its gold for a timeshare,0.6645
Convenience Store,Extreme Jet Lag,0.6645
Haunted House,Tinder Date from Hell,0.6645
Abandoned Mine,Performing an Exorcism,0.6645
Birthday Party,Firing a Friend,0.6645
Salvage Yard,Running Out of Gas,0.6644
Taxi Cab,Murder Mystery Dinner,0.6644
Chicken Coop,Messy Breakup,0.6644
Funeral Home,Getting Stood Up,0.6644
Ice Cave,Running Out of Gas,0.6644
Skate Park,Trying to escape a maze,0.6644
Museum,Spilling coffee on a priceless piece of art,0.6644
Rock Concert,Dealing with a Karen,0.6644
Pharmacy,Emergency Evacuation,0.6644
Underwater,Office Holiday Party,0.6644
White House,Breaking a priceless vase at a museum and trying to glue it back,0.6644
Medieval Castle,Escape Room Disaster,0.6644
Ambulance,Causing a Public Scene,0.6644
Kitchen,Taking a bite out of a decorative wax apple,0.6644
Castle,Emergency Evacuation,0.6644
Psychiatric Ward,Awkward Morning After,0.6644
Bookstore,Emergency Evacuation,0.6644
On the phone,Cheating at a Board Game,0.6644
Tank,Trying to escape a maze,0.6643
Fast Food Restaurant,Not knowing how to use a manual can opener,0.6643
Beach,Explaining to border control why your suitcase is full of rocks,0.6643
Courthouse,Arguing with a Bouncer,0.6643
House Fire,Drunk Calling the Ex,0.6643
Space Station,Getting Locked Out,0.6643
Old Pick-Up Truck,Trying to start a fire by rubbing two sticks together,0.6643
Laboratory,Negotiating a Ransom,0.6643
Bank,Emergency Evacuation,0.6643
Nature Hike,Murder Mystery Dinner,0.6643
Taxi,Bumping into a Celebrity,0.6643
Indoor Shooting Range,Office Holiday Party,0.6643
Harbor,Hiding a Fugitive,0.6643
Antiques Shop,Breaking a priceless vase at a museum and trying to glue it back,0.6643
Rainforest,Trying to sell ice to an Eskimo,0.6643
Green Room,Lost in Translation,0.6643
Bridge,Causing a Public Scene,0.6643
Dungeon,Hiding a Fugitive,0.6642
Fire Station,Getting Locked Out,0.6642
Cheap Motel,Extreme Jet Lag,0.6642
Morgue,Investigating a Haunting,0.6642
Hiking Trail,Solving a Murder,0.6642
Castle,Hacking a Secure System,0.6642
Medieval Village,Amateur Ghost Hunting,0.6642
Penthouse Suite,Murder Mystery Dinner,0.6642
Canal,Dropping the bride's ring down a sewer grate,0.6642
Ambulance,Running Out of Gas,0.6642
Volcano,Trying to start a fire by rubbing two sticks together,0.6642
County Fair,Cult Initiation Ceremony,0.6642
Apartment Building,Losing Your Passport,0.6642
City Bus,Backing over your neighbor's prized rose bush,0.6642
Run-Down Apartment,Negotiating a Ransom,0.6642
Community Center,Starting a Cult,0.6642
Cheap Motel,Arguing Over the Bill,0.6642
Mechanic's Shop,Hiding a Fugitive,0.6642
Salvage Yard,Staging an Intervention,0.6641
Clock Tower,Getting Stood Up,0.6641
Virtual Reality World,Evading Arrest,0.6641
Living Room,Solving a Murder,0.6641
Post-Apocalyptic World,Trying to start a fire by rubbing two sticks together,0.6641
College Campus,Getting Locked Out,0.6641
Flower Shop,First Day at a New Job,0.6641
Bowling Alley,Firing a Friend,0.6641
House Fire,Amateur Ghost Hunting,0.6641
Ice Cream Parlor,Finding a treasure map on the back of a fast-food receipt,0.6641
Cheap Motel,Awkward Morning After,0.6641
Emergency Room,Starting a Cult,0.6641
Brewery,Office Holiday Party,0.6641
Empty Lot,Losing Your Passport,0.6641
Abandoned Warehouse,Hacking a Secure System,0.6641
Workshop,Hacking a Secure System,0.6641
Run-Down Apartment,Backing over your neighbor's prized rose bush,0.6641
Movie Theater,Arguing with a Bouncer,0.6641
Waterfall,Causing a Public Scene,0.6641
Recording Studio,Running Out of Gas,0.6641
Hunting Cabin,Getting Ghosted,0.664
Airplane,Claiming to be a doctor on a flight when you only have a PhD in Art History,0.664
Egyptian Pyramids,Getting caught trying to steal a souvenir from a sacred temple,0.664
Church,Cult Initiation Ceremony,0.664
Funeral Home,Arguing Over the Bill,0.664
Hotel Room,Scamming the Scammer,0.664
Haunted House,Messy Breakup,0.664
Teacher's Lounge,Solving a Murder,0.664
Secret Passageway,Murder Mystery Dinner,0.664
Graveyard,Dropping the bride's ring down a sewer grate,0.664
Subway Tunnel,Speed Dating,0.664
Greenhouse,Emergency Evacuation,0.664
Secret Laboratory,Getting Locked Out,0.664
River,Swimming in a public fountain,0.664
Green Room,Getting Stood Up,0.664
Boarding School,Messy Divorce,0.664
Maze,Hacking a Secure System,0.6639
Cabin In The Woods,Getting Stood Up,0.6639
Truck Stop,Dealing with a Karen,0.6639
Battlefield,Getting Locked Out,0.6639
On the phone,Defending a flat-earth theory at a NASA conference,0.6639
Ocean Floor,Discovering a Conspiracy,0.6639
Online,First Day at a New Job,0.6639
Car Wash,Evading Arrest,0.6639
Observatory,Emergency Evacuation,0.6639
Police Car,Attempting to arrest a real police officer,0.6639
Elevator,Negotiating a Ransom,0.6639
Dragon's Lair,Starting a Bar Fight,0.6639
City Bus,Lost in Translation,0.6639
Living Room,Trying to escape a maze,0.6639
Dragon's Lair,Flirting with the Boss,0.6639
Taxi Cab,Bumping into a Celebrity,0.6639
Construction Site,Starting a Cult,0.6638
Therapist's Office,Running from the Cops,0.6638
Haunted House,Hacking a Secure System,0.6638
Maze,Navigating a foreign city with a broken map and no language skills,0.6638
Cabin In The Woods,Getting trapped in a porta-potty,0.6638
On the phone,Alien Abduction Attempt,0.6638
Rock Concert,Lost in Translation,0.6638
Gas Station,Scamming the Scammer,0.6638
Igloo,Trying to start a fire by rubbing two sticks together,0.6638
Amusement Park,Firing a Friend,0.6638
Coastal Cliffs,Running from the Cops,0.6638
Birthday Party,Getting Stood Up,0.6638
Secret Passageway,Alien Abduction Attempt,0.6638
Hospital Room,Getting Stood Up,0.6638
Principal's Office,Getting Ghosted,0.6638
Old Pick-Up Truck,Negotiating a Ransom,0.6638
Airport,Trying to smuggle a koala onto a plane,0.6638
Limousine,Emergency Evacuation,0.6638
Beach Party,Messy Divorce,0.6637
Break Room,Dealing with a Karen,0.6637
Small Town Street,Solving a Murder,0.6637
Bunker,Getting Locked Out,0.6637
Spaceship,Getting caught building a doomsday device in the garage,0.6637
Green Room,Explaining to the vet why the dog is green,0.6637
Cave,Extreme Jet Lag,0.6637
Bonfire,Accidentally destroying a child's sandcastle masterpiece,0.6637
Truck Stop,Hiding a Fugitive,0.6637
College Campus,Speed Dating,0.6637
Circus,Destroying a child's belief in Santa Claus,0.6637
Laboratory,Starting a Cult,0.6637
Video Arcade,Getting Friend-Zoned,0.6637
Arcade,Trying to escape a maze,0.6637
Principal's Office,Running Out of Gas,0.6637
